Batch,Cmp,Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 33,250 4 R,33,2233.202,6630.033,338.42152521739996,315.2523259106535,361.5907245241464
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 34,250 5 R,34,2618.885,7950.902,331.048844131935,307.9912767498245,354.10641151404553
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 36,750 1 R,36,6097.266,6585.256,924.3189278665853,880.292278872687,968.3455768604837
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 37,750 2 R,37,6840.64,7025.876,972.0520469197727,925.9394732200045,1018.1646206195409
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 38,750 3 R,38,7508.378,7470.9,1003.4505544533523,955.9626557146369,1050.9384531920678
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 39,750 4 R,39,7320.186,6925.342,1055.5131225884354,1005.7431266878406,1105.2831184890301
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 40,750 5 R,40,7335.629,7843.044,933.722078317753,889.2851896758436,978.1589669596624
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 42,3.0 1 R,42,21981.797,5539.819,4046.1858163636207,3902.4469739847914,4189.9246587424495
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 43,3.0 2 R,43,22624.221,6014.941,3828.725940266278,3689.1506057666575,3968.3012747658986
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 44,3.0 3 R,44,21305.906,5429.184,4000.1949509405645,3857.310128928771,4143.079772952358
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 45,3.0 4 R,45,21806.539,5285.231,4213.008098924863,4066.2826266253373,4359.733571224388
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 46,3.0 5 R,46,21946.088,5520.671,4053.8778251411627,3909.9976681453472,4197.757982136978
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 48,G4 Cal Curve 78.125 uM,48,642.708,8494.424,80.46563146656294,56.4353757228567,104.49588721026919
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 49,G4 Cal Curve 156.25 nM,49,1066.173,6715.466,162.42572842641044,139.76573712734037,185.08571972548052
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 50,G4 Cal Curve 312.5 nM,50,2341.436,7847.397,300.36546097239614,277.6940226815988,323.03689926319345
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 51,G4 Cal Curve 625 nM,51,4764.684,7637.837,623.1608473389597,591.7009376212488,654.6207570566705
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 52,G4 Cal Curve 1.25 uM,52,8793.893,7573.206,1159.9500903435423,1105.6134169197967,1214.286763767288
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 53,G4 Cal Curve 2.5 uM,53,11725.288,4817.834,2450.8277292639987,2346.7958070811487,2554.8596514468486
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 54,G4 Cal Curve 5 uM,54,23633.607,4527.005,5382.742498171987,5217.993775111382,5547.491221232592
A&P - Recovery Assessment G4.SPL,-OH Diclofenac,G4 APR Assessment 55,G4 Cal Curve 10 uM,55,31808.449,3447.714,9891.375113928509,9501.548510648192,10281.201717208825
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 2,G4 Cal Curve 78.125 uM,2,568.807,7102.003,79.40779477350718,63.80768049394956,95.0079090530648
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 3,G4 Cal Curve 156.25 nM,3,1011.294,6141.052,158.54921426930315,143.83180234201794,173.26662619658836
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 4,G4 Cal Curve 312.5 nM,4,2154.972,6898.348,296.92411192345554,282.2597167278222,311.5885071190889
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 5,G4 Cal Curve 625 nM,5,4778.954,7806.846,578.4107808726305,559.1382604657193,597.6833012795418
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 6,G4 Cal Curve 1.25 uM,6,8581.172,6899.025,1174.5761517011879,1139.1234293366451,1210.0288740657306
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 7,G4 Cal Curve 2.5 uM,7,14226.177,5341.802,2529.3568789325004,2461.1425082688024,2597.5712495961984
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 8,G4 Cal Curve 5 uM,8,28416.271,5300.723,5165.520490041361,5063.614640417469,5267.426339665253
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 9,G4 Cal Curve 10 uM,9,48232.113,4690.636,10205.739921494587,9946.553327403548,10464.926515585626
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 12,250 1 AP,12,1735.987,7138.553,232.0665262014715,217.61534594786932,246.5177064550737
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 13,250 2 AP,13,1807.648,6773.385,254.263354467292,239.7854031402649,268.74130579431915
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 14,250 3 AP,14,1495.529,5874.451,242.74447602551945,228.28653388391413,257.2024181671248
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 15,250 4 AP,15,1628.226,6720.764,231.20770906748115,216.75657891453417,245.65883922042812
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 16,250 5 AP,16,1591.357,6170.409,245.85470092336539,231.39264756654717,260.3167542801836
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 18,750 1 AP,18,3575.452,4780.829,706.1603571424373,683.6983577966209,728.6223564882537
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 19,750 2 AP,19,3343.655,4572.757,690.468362843452,668.4161907165925,712.5205349703116
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 20,750 3 AP,20,3779.033,4893.747,729.0937945245222,706.0260665122129,752.1615225368315
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 21,750 4 AP,21,3970.437,5222.204,717.8659464701734,695.0957255140529,740.6361674262939
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 22,750 5 AP,22,3808.145,4956.54,725.410354482355,702.4404172700456,748.3802916946645
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 24,3.0 1 AP,24,10528.931,3471.465,2885.8980043372326,2811.033259158216,2960.762749516249
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 25,3.0 2 AP,25,14013.952,4676.483,2850.8274468566083,2776.5803721806537,2925.074521532563
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 26,3.0 3 AP,26,12423.428,4122.146,2867.3809297592984,2792.8413332405926,2941.920526278004
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 27,3.0 4 AP,27,12969.164,4183.322,2950.860045089831,2874.871727143123,3026.8483630365395
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 28,3.0 5 AP,28,13056.136,4315.897,2878.2980660969342,2803.5665099330786,2953.02962226079
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 30,250 1 R,30,1813.988,5019.31,342.88669055228695,327.8345349027036,357.9388462018703
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 31,250 2 R,31,2257.286,6056.22,353.5058168741369,338.3385062792119,368.67312746906185
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 32,250 3 R,32,1975.693,5330.59,351.54621390257483,336.4008284686921,366.69159933645756
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 33,250 4 R,33,1910.905,4972.911,364.33346327457946,349.039435429012,379.62749112014694
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 34,250 5 R,34,2348.599,6032.654,369.07320579432326,353.72083337966853,384.425578208978
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 36,750 1 R,36,5402.449,5171.527,986.1589805382679,955.9928734186813,1016.3250876578545
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 37,750 2 R,37,5658.368,5164.478,1034.346933738607,1002.8254023818388,1065.8684650953753
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 38,750 3 R,38,6305.488,6108.748,974.3982901462043,944.5628427873728,1004.2337375050358
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 39,750 4 R,39,6047.105,5650.947,1010.2140317951157,979.3713600045062,1041.0567035857252
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 40,750 5 R,40,6453.722,6326.386,962.9866581746804,933.471863403086,992.5014529462749
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 42,3.0 1 R,42,19248.531,4614.957,3992.4852200744813,3901.8296960942066,4083.140744054756
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 43,3.0 2 R,43,22155.102,5120.062,4145.543422614659,4053.191465059299,4237.895380170019
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 44,3.0 3 R,44,20577.945,4878.329,4038.8341994994894,3947.6545693262287,4130.01382967275
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 45,3.0 4 R,45,20799.607,4608.085,4328.74563068917,4234.4830018604935,4423.0082595178465
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 46,3.0 5 R,46,19730.596,4448.055,4252.177982336899,4158.699109046971,4345.656855626827
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 48,G4 Cal Curve 78.125 uM,48,586.153,6303.713,91.46741301282837,76.03958976998288,106.89523625567386
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 49,G4 Cal Curve 156.25 nM,49,840.629,5535.024,146.56566098699327,131.75326168277977,161.37806029120676
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 50,G4 Cal Curve 312.5 nM,50,1944.522,5815.851,317.5138414686747,302.69866282287774,332.32902011447163
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 51,G4 Cal Curve 625 nM,51,3949.396,6061.265,615.5052113852367,595.3460552953946,635.6643674750788
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 52,G4 Cal Curve 1.25 uM,52,7170.874,5429.414,1247.4542933618457,1209.9778921947457,1284.9306945289457
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 53,G4 Cal Curve 2.5 uM,53,9968.506,3764.868,2514.533289580594,2446.6135372523186,2582.4530419088696
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 54,G4 Cal Curve 5 uM,54,21689.434,4154.487,5026.541103602118,4925.8386814575515,5127.243525746684
A&P - Recovery Assessment G4.SPL,Diclofenac,G4 APR Assessment 55,G4 Cal Curve 10 uM,55,31507.652,3215.368,9696.12916234522,9469.360075478702,9922.898249211737
