Batch,Cmp,Sample.Name,Sample.Desc,Sample.Type,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 45,3.0 4 R,Sample,45,22565.098,3370.517,3580.094477326587,3444.090314782974,3716.0986398702
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 46,3.0 5 R,Sample,46,19251.197,3046.37,3384.776061755,3252.3603148359402,3517.1918086740593
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 48,G2 Cal Curve 78.125 uM,Standard,48,703.402,4402.484,83.26165094457625,55.9172937636681,110.6060081254844
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 49,G2 Cal Curve 156.25 nM,Standard,49,1223.393,4201.69,155.71711419717815,129.84398079960602,181.59024759475028
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 50,G2 Cal Curve 312.5 nM,Standard,50,2612.927,4394.097,322.7103518967377,296.7526411231431,348.66806267033223
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 51,G2 Cal Curve 625 nM,Standard,51,4421.572,3838.492,628.065603281058,592.6278242186049,663.503382343511
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 52,G2 Cal Curve 1.25 uM,Standard,52,9304.968,3815.464,1326.981424856528,1259.6929331537892,1394.269916559267
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 53,G2 Cal Curve 2.5 uM,Standard,53,14415.912,3054.876,2544.904860225656,2432.6811871649893,2657.128533286323
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 54,G2 Cal Curve 5 uM,Standard,54,30102.314,3274.885,4863.107004951079,4710.9768831936835,5015.2371267084745
A&P - Recovery Assessment G2.SPL,Carbofuran,G2 APR Assessment 55,G2 Cal Curve 10 uM,Standard,55,50139.824,2404.7,10526.486738614865,10158.548111957021,10894.42536527271
