Batch,Cmp,Sample.Name,Sample.Desc,Run Order,Raw.Response,ISTD.Response,Estimated.Conc,lower_est,upper_est
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 38,750 3 R,38,34087.641,1607.102,1177.953587815091,1141.8747864424415,1214.0323891877404
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 39,750 4 R,39,46451.176,1948.591,1321.0685385872475,1281.8289686899154,1360.3081084845796
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 40,750 5 R,40,48241.363,2049.177,1304.9191185834552,1266.0468161737545,1343.791420993156
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 42,3.0 1 R,42,130635.625,1269.336,5627.956212651978,5467.524331627968,5788.388093675987
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 43,3.0 2 R,43,131666.891,1143.151,6295.8121098769825,6115.690658718839,6475.933561035126
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 44,3.0 3 R,44,119237.094,1026.827,6347.170146578237,6165.532573227478,6528.807719928996
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 45,3.0 4 R,45,119543.781,1108.741,5894.985485798201,5726.687334593984,6063.283637002418
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 46,3.0 5 R,46,118764.906,1205.218,5389.718755414391,5236.296736596442,5543.14077423234
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 48,G5 Cal Curve 78.125 uM,48,4970.133,4312.947,85.50742507090672,59.3513041392102,111.66354600260324
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 49,G5 Cal Curve 156.25 nM,49,7916.969,3022.881,165.38599431344664,139.7460148144307,191.02597381246258
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 50,G5 Cal Curve 312.5 nM,50,13433.602,2755.945,288.2230547740164,262.9559739402938,313.49013560773903
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 51,G5 Cal Curve 625 nM,51,25622.836,2388.598,606.9845795500078,580.258481037049,633.7106780629665
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 52,G5 Cal Curve 1.25 uM,52,41322.473,2040.361,1125.772120977439,1090.7873169862287,1160.7569249686494
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 53,G5 Cal Curve 2.5 uM,53,70457.625,1452.682,2664.3287377305905,2589.8388416549005,2738.8186338062806
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 54,G5 Cal Curve 5 uM,54,94380.148,1106.828,4666.908130048258,4534.693473550176,4799.122786546339
A&P - Recovery Assessment G5.SPL,Dextrophan,G5 APR Assessment 55,G5 Cal Curve 10 uM,55,155889.188,864.845,9839.877971539736,9554.756981117274,10124.998961962197
